subj,exp_id,ses_id,stim,timestamp,x,y,duration,sacc_amplitude,sacc_dur
P05,1,1,tsq02,7.097110,1067.574261,108.993600,0.377832,331.457685,0.032888
P05,1,1,tsq02,7.507830,1392.572000,174.114000,0.197075,784.072208,0.065758
P05,1,1,tsq02,7.770663,932.956800,809.348677,0.427076,527.079752,0.082139
P05,1,1,tsq02,8.279878,1258.906500,395.138756,0.525787,0.000000,0.082139
P05,1,1,tsq03,0.049258,984.806196,486.030677,0.772095,171.830435,0.049346
P05,1,1,tsq03,0.870699,829.933867,560.463600,0.147900,375.011866,0.016372
P05,1,1,tsq03,1.034971,1202.504000,517.738950,0.197126,426.524739,0.032816
P05,1,1,tsq03,1.264913,777.504000,553.771620,0.164314,410.440244,0.049435
P05,1,1,tsq03,1.478662,1187.944145,554.056200,0.180603,387.688338,0.016434
P05,1,1,tsq03,1.675699,800.620800,570.875040,0.410742,503.345727,0.065656
P05,1,1,tsq03,2.152097,1303.839086,582.201000,0.114951,975.402834,0.607950
P05,1,1,tsq03,2.874998,329.909959,528.603021,0.476399,370.863118,0.049230
P05,1,1,tsq03,3.400627,691.604000,610.559550,0.197184,578.019139,0.049228
P05,1,1,tsq03,3.647039,1268.790947,579.553863,1.248495,296.400029,0.033025
P05,1,1,tsq03,4.928559,1552.898259,664.028788,0.279145,740.676583,0.230044
P05,1,1,tsq03,5.437748,940.060800,1080.000000,0.016482,602.808955,0.065766
P05,1,1,tsq03,5.519996,1184.205120,528.844680,0.164170,0.000000,0.065766
P06,1,1,tsa01,0.032930,816.517029,434.902500,0.230014,443.295581,0.049257
P06,1,1,tsa01,0.312201,811.633792,878.171184,1.478622,242.732005,0.065578
P06,1,1,tsa01,1.856401,571.506271,913.633839,0.772108,547.066809,0.065784
P06,1,1,tsa01,2.694293,1089.090327,736.464886,1.445619,874.084701,0.312171
P06,1,1,tsa01,4.452083,285.344291,1080.000000,0.361486,436.684054,0.279295
P06,1,1,tsa01,5.092864,706.305600,963.877050,0.131418,0.000000,0.279295
P06,1,1,tsa02,0.049342,855.998400,440.632238,0.262778,360.543894,0.032944
P06,1,1,tsa02,0.345064,496.615096,411.726522,0.377866,470.611424,0.065659
P06,1,1,tsa02,0.788589,634.582400,861.660000,0.147756,602.768367,0.065969
P06,1,1,tsa02,1.002314,396.670578,307.830000,0.656975,717.440022,0.065811
P06,1,1,tsa02,1.725100,1098.461600,456.858675,0.394140,615.052352,0.049303
P06,1,1,tsa02,2.168543,660.400424,888.589843,1.363528,763.996498,0.082229
P06,1,1,tsa02,3.614300,1423.329969,848.227015,0.213499,847.981797,0.065744
P06,1,1,tsa02,3.893543,581.311015,948.612323,1.281484,110.194396,0.016326
P06,1,1,tsa02,5.191353,554.893935,841.631284,0.509403,628.994023,0.082057
P06,1,1,tsa02,5.782813,425.115548,226.171252,0.377777,882.624627,0.312190
P06,1,1,tsa02,6.472780,1303.464576,312.942312,0.410792,592.819280,0.065629
P06,1,1,tsa02,6.949201,1320.286484,905.522874,0.312069,1113.535997,0.082157
P06,1,1,tsa02,7.343427,450.996939,209.607574,0.952860,690.390102,0.065672
P06,1,1,tsa02,8.361959,1133.104332,102.986766,1.265030,809.923794,0.476511
P06,1,1,tsa02,10.103500,1514.133600,817.684779,0.459884,1189.557931,0.279352
P06,1,1,tsa02,10.842736,419.673600,351.631800,0.016340,1190.397689,0.065797
P06,1,1,tsa02,10.924873,1476.525511,899.455400,0.443531,1226.091904,0.098491
P06,1,1,tsa02,11.466895,415.431360,285.142320,0.492900,1235.862466,0.098649
P06,1,1,tsa02,12.058444,1496.718470,883.618904,0.377858,710.660626,0.049488
P06,1,1,tsa02,12.485790,813.730189,1080.000000,0.936204,0.000000,0.049488
P06,1,1,tsa03,0.049171,814.515840,417.906000,0.082099,545.663505,0.065854
P06,1,1,tsa03,0.197124,280.731657,531.145157,0.689858,579.573122,0.082109
P06,1,1,tsa03,0.969091,466.912659,1080.000000,0.558717,508.147544,0.065614
P06,1,1,tsa03,1.593422,286.030080,605.136420,0.328633,1096.838731,0.098545
P06,1,1,tsa03,2.020600,1373.094063,751.242884,0.312169,849.534132,0.082141
P06,1,1,tsa03,2.414910,589.750588,1080.000000,0.279238,430.998839,0.032895
P06,1,1,tsa03,2.727043,223.542400,852.730200,0.098467,0.000000,0.032895
P06,1,1,tsq01,0.049499,648.205200,340.662600,0.394144,762.452996,0.082043
