subj,exp_id,ses_id,stim,timestamp,K
P06,1,1,tsq03,9.988295,0.040812
P06,1,1,tsq03,10.530429,0.113646
P06,1,1,tsq03,10.809841,0.723552
P06,1,1,tsq03,12.337559,-1.141342
P06,1,1,tsq03,13.126126,-0.493419
P06,1,1,tsq03,14.144674,-0.493419
P07,1,1,tsa01,0.049293,0.000000
P07,1,1,tsa01,0.788601,0.000000
P07,1,1,tsa02,0.032870,2.123619
P07,1,1,tsa02,0.476385,0.857636
P07,1,1,tsa02,0.870682,-1.495688
P07,1,1,tsa02,1.264989,-1.495688
P07,1,1,tsa03,0.049272,0.684123
P07,1,1,tsa03,0.492851,0.023155
P07,1,1,tsa03,1.002092,0.299676
P07,1,1,tsa03,1.314219,1.024383
P07,1,1,tsa03,1.757810,-1.879173
P07,1,1,tsa03,1.889122,1.441146
P07,1,1,tsa03,2.579100,-1.218964
P07,1,1,tsa03,2.907775,1.038796
P07,1,1,tsa03,3.909929,-0.140685
P07,1,1,tsa03,4.287720,1.864435
P07,1,1,tsa03,5.388397,0.665278
P07,1,1,tsa03,5.552667,-3.109134
P07,1,1,tsa03,5.634871,-3.847642
P07,1,1,tsa03,5.700477,1.848721
P07,1,1,tsa03,6.226190,-1.834751
P07,1,1,tsa03,6.341280,-0.451326
P07,1,1,tsa03,6.587580,0.101113
P07,1,1,tsa03,6.965445,0.091434
P07,1,1,tsa03,7.129750,-1.339807
P07,1,1,tsa03,7.228399,0.257276
P07,1,1,tsa03,7.787013,2.574877
P07,1,1,tsa03,9.281861,0.510598
P07,1,1,tsa03,9.643246,1.830199
P07,1,1,tsa03,10.711089,1.830199
P07,1,1,tsq01,0.032968,-0.000706
P07,1,1,tsq01,0.443622,-2.305408
P07,1,1,tsq01,0.706679,0.933020
P07,1,1,tsq01,2.234319,0.209617
P07,1,1,tsq01,2.464255,0.657187
P07,1,1,tsq01,3.072108,0.507786
P07,1,1,tsq01,3.729272,0.998398
P07,1,1,tsq01,4.189314,0.998398
P07,1,1,tsq02,0.032878,2.711247
P07,1,1,tsq02,0.673561,0.657933
P07,1,1,tsq02,1.232038,1.194741
P07,1,1,tsq02,1.954849,-1.070286
P07,1,1,tsq02,2.431257,-1.959931
P07,1,1,tsq02,2.776370,-1.959931
P07,1,1,tsq03,0.049404,-1.307166
P07,1,1,tsq03,0.098665,-1.927191
P07,1,1,tsq03,0.706420,-1.545699
P07,1,1,tsq03,1.002129,-0.739426
P07,1,1,tsq03,1.511506,-0.764020
P07,1,1,tsq03,2.595725,-1.872453
P07,1,1,tsq03,3.137793,3.238476
P07,1,1,tsq03,5.059954,-0.410320
P07,1,1,tsq03,5.306375,0.693030
P07,1,1,tsq03,6.193479,1.956588
P07,1,1,tsq03,8.739926,-0.231870
P07,1,1,tsq03,9.298398,-0.990840
P07,1,1,tsq03,9.824078,-1.374685
P07,1,1,tsq03,10.169134,0.523565
P07,1,1,tsq03,10.284205,1.787878
P07,1,1,tsq03,11.204099,1.911519
P07,1,1,tsq03,12.699096,-0.593843
P07,1,1,tsq03,12.863348,1.525032
P07,1,1,tsq03,13.799814,1.525032
p08,1,1,tsa01,0.032915,-0.217063
p08,1,1,tsa01,0.295790,-0.813770
p08,1,1,tsa01,0.985790,2.987728
p08,1,1,tsa01,3.794964,0.774310
p08,1,1,tsa01,4.616326,-1.906779
p08,1,1,tsa01,5.503477,0.012790
p08,1,1,tsa01,5.635014,0.012790
p08,1,1,tsa02,0.032893,-1.111751
p08,1,1,tsa02,0.657164,2.276791
p08,1,1,tsa02,1.593541,2.276791
p08,1,1,tsa03,0.049195,-0.201218
p08,1,1,tsa03,0.082170,-1.045771
p08,1,1,tsa03,0.426994,-1.045771
p08,1,1,tsq01,0.032820,0.823493
p08,1,1,tsq01,1.002225,-0.001408
p08,1,1,tsq01,1.462131,-1.992869
p08,1,1,tsq01,1.659341,0.541522
p08,1,1,tsq01,2.316364,0.038109
p08,1,1,tsq01,3.844183,-0.068551
p08,1,1,tsq01,4.139986,0.654974
p08,1,1,tsq01,4.304190,-0.764915
p08,1,1,tsq01,5.585575,2.157369
p08,1,1,tsq01,7.376258,-0.424042
p08,1,1,tsq01,7.770571,-0.424042
p08,1,1,tsq02,0.032742,0.745533
p08,1,1,tsq02,0.854106,0.969683
p08,1,1,tsq02,1.478525,1.406999
p08,1,1,tsq02,2.299954,2.589891
p08,1,1,tsq02,3.400602,-2.745233
p08,1,1,tsq02,3.647058,-2.043759
p08,1,1,tsq02,4.123351,-2.043759
p08,1,1,tsq03,0.032967,-0.826619
p08,1,1,tsq03,0.246545,-0.162783
p08,1,1,tsq03,0.476503,-1.970761
p08,1,1,tsq03,0.673588,2.042204
p08,1,1,tsq03,1.495040,0.441332
p08,1,1,tsq03,1.774374,1.507339
p08,1,1,tsq03,2.447915,-0.553887
p08,1,1,tsq03,2.792903,1.697764
p08,1,1,tsq03,3.680094,0.181907
p08,1,1,tsq03,4.156403,-1.241649
p08,1,1,tsq03,4.633017,-1.900735
p08,1,1,tsq03,5.060034,2.374445
p08,1,1,tsq03,5.536361,2.374445
P09,1,1,tsa01,0.032883,-1.476048
P09,1,1,tsa01,0.262728,-1.453265
P09,1,1,tsa01,1.445604,2.577065
P09,1,1,tsa01,3.926398,1.245470
P09,1,1,tsa01,5.371990,1.245470
P09,1,1,tsa02,0.049034,0.206824
P09,1,1,tsa02,0.081938,1.228463
P09,1,1,tsa02,0.607690,-0.399646
P09,1,1,tsa02,0.969161,-0.367928
P09,1,1,tsa02,1.149786,0.720225
