x,y,d,t
0.465580,1.056630,3.640000,121.527764
0.470565,1.068320,3.670000,121.544200
0.488140,1.506860,3.605000,121.560637
0.505890,1.707765,3.695000,121.577010
0.503730,1.714725,3.650000,121.593500
0.530065,1.715885,3.540000,121.609917
0.501515,1.714760,3.685000,121.626283
0.499970,1.718750,3.685000,121.642784
0.485965,1.689305,3.575000,121.659246
0.519050,1.778455,3.755000,121.675612
0.521390,1.769395,3.675000,121.692214
0.502545,1.727565,3.720000,121.708525
0.501150,1.703665,3.735000,121.724882
0.500595,1.705100,3.610000,121.741331
0.492620,1.683300,3.780000,121.757796
0.515660,1.756255,3.770000,121.774178
0.513955,1.762175,3.715000,121.790723
0.486420,1.772950,3.690000,121.807031
0.497925,1.751615,3.735000,121.823511
0.496830,1.753970,3.650000,121.839983
0.493065,1.748825,3.780000,121.856386
0.509895,1.579235,3.825000,121.872805
0.509490,1.580430,3.775000,121.889297
0.545415,0.791855,3.500000,121.905634
0.519495,0.672930,3.675000,121.922077
0.518930,0.668740,3.770000,121.938510
0.501055,0.605760,3.730000,121.954949
0.537905,0.709025,3.850000,121.971304
0.540480,0.733250,3.690000,121.987796
0.522345,0.654185,3.705000,122.004272
0.516335,0.715940,3.730000,122.020664
0.514575,0.703825,3.795000,122.037089
0.539090,0.646305,3.720000,122.053514
0.527155,0.621240,3.750000,122.069915
0.527595,0.625095,3.770000,122.086328
